,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,neutral_location
803,80,115,0,0,0,0,0
804,90,14,0,0,0,0,0
805,28,24,0,0,1,0,0
806,73,43,0,0,6,0,0
807,21,22,0,0,1,0,0
808,43,42,0,0,1,1,0
809,102,69,0,0,0,2,0
810,50,79,0,0,5,1,0
811,67,26,0,0,1,2,0
812,93,51,0,0,3,0,0
813,147,84,0,0,0,3,0
814,97,66,0,0,0,0,0
815,27,77,0,0,1,0,0
816,109,24,0,0,1,0,0
817,59,114,0,0,2,0,0
818,40,71,0,0,1,1,0
819,107,53,0,0,2,0,0
820,34,44,0,0,4,3,0
821,144,3,0,0,0,2,0
822,47,156,0,0,7,0,0
823,148,10,0,0,1,4,1
824,120,88,0,0,1,1,0
825,21,65,0,0,2,0,0
826,56,81,0,0,2,0,0
827,30,7,0,0,3,1,0
828,15,92,0,0,1,0,0
829,115,82,0,0,0,1,0
830,136,40,0,0,0,4,0
831,18,38,0,0,4,0,0
832,100,99,0,0,2,0,0
833,4,49,0,0,1,1,0
834,23,17,0,0,0,3,0
835,57,5,0,0,1,0,0
836,11,14,0,0,1,0,0
837,39,69,0,0,4,0,0
838,73,54,0,0,0,1,0
839,60,2,0,0,0,1,0
840,112,13,0,0,0,3,0
841,6,113,0,0,5,0,0
842,134,30,0,0,0,2,0
843,12,37,0,0,1,2,0
844,126,131,0,0,1,1,0
845,142,141,0,0,1,1,0
846,58,59,0,0,2,1,0
847,17,136,0,0,3,0,0
848,131,126,0,0,2,1,0
849,38,30,0,0,1,1,0
850,144,92,0,0,2,2,0
851,39,59,0,0,0,1,0
852,62,8,0,0,1,1,0
853,79,149,0,0,3,0,0
